Documento	Pregunta	Anotador	Respuesta	Comentarios
ld0051	¿Con qué instituciones se reunió Codicen para debatir la medida?	AD	[Representantes de la Asociación de Institutos de Educación Privada (AIDEP) y de la Asociación Uruguaya de Educación Católica (AUDEC)] se reunieron este martes con las autoridades del Consejo Directivo Central (Codicen) de la Administración Nacional de Educación Pública para conversar sobre cómo ha sido el proceso de adaptación a las clases virtuales y cómo avanzar en las próximas semanas.	
ld0051	¿Cuánto aumentaron los reclamos de los padres que mandan a sus hijos a colegio privado?	AD	Defensa al Consumidor informó la semana pasada que [se triplicaron] los reclamos hechos por padres que envían a sus hijos a colegios privados, según informó El País. 	
ld0051	¿Qué plataformas fueron importantes para la virtualidad en la educación?	AD	Varela y Noya concuerdan en la importancia que ha tenido la plataforma [CREA, de Plan Ceibal], para mantener el vínculo con los estudiantes, más allá de que varios colegios han podido acceder a otras plataformas educativas pagas.	
ld0052	¿Cuándo se realizó la encuesta?	AD	Las consultas a los montevideanos se hicieron de forma online [entre el 4 y el 6 de abril, el 12 y el 14 y el 20 y el 22].	
ld0052	¿Qué porcentaje de preocupación por contagiarse de Covid se relevó en la encuesta?	AD	Quienes dicen que están algo o muy preocupados eran [63% en el primero, 64% en el segundo y 61% en el tercero].	
ld0052	¿Qué porcentaje de montevideanos se siguen informando seguido sobre el Covid, según la encuesta?	AD	En la misma línea viene cayendo también la frecuencia con la que los montevideanos dicen infomarse “todo el tiempo” sobre el tema: [39%, 26% y 21%].	
ld0052	¿Qué porcentaje de personas se informan sobre el Covid solo una vez por día o menos?	AD	A su vez, aumenta la proporción de quienes se informan solo una vez por día o menos: [27%, 42% y, en la última, 46%].	
ld0052	¿Qué porcentaje de personas tiene temor a contagiarse o que se contagie un familiar?	AD	Además, se viene reduciendo el temor a contagiarse o que lo haga un familiar ([de 58% a 55% y a 51%]) mientras en la última semana creció la percepción de que “la amenaza del coronavirus está exagerada en Uruguay” (20%,17%,20%).	
ld0052	¿Qué porcentaje de personas cree que la preocupación por el Covid es exagerada?	AD	Además, se viene reduciendo el temor a contagiarse o que lo haga un familiar (de 58% a 55% y a 51%) mientras en la última semana creció la percepción de que “la amenaza del coronavirus está exagerada en Uruguay” ([20%,17%,20%]).	
ld0054	¿Cuándo empezará a ser obligatorio el uso de tapabocas en grandes superficies?	AD	[Este viernes] se comenzará a exigir el uso de tapabocas en las grandes superficies, pero también en los próximos días se comenzaría a hacer lo mismo en los comercios asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU), según acordaron evaluar este jueves autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado, en una reunión que sostuvieron en la Torre Ejecutiva.	
ld0054	¿En cuáles comercios será obligatorio el uso de tapabocas en los próximos días?	AD	Este viernes se comenzará a exigir el uso de tapabocas en las grandes superficies, pero también en los próximos días se comenzaría a hacer lo mismo en los comercios [asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU)], según acordaron evaluar este jueves autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado, en una reunión que sostuvieron en la Torre Ejecutiva.	
ld0054	¿Cuál es uno de los sectores más afectados por la pandemia?	AD	Entre los temas que trataron en la instancia, los comerciantes plantearon la inquietud del [sector gastronómico], uno de los más afectados por el confinamiento como consecuencia de la emergencia sanitaria.	
ld0055	¿Cuáles son las zonas de Brasil más afectadas por el Covid?	AD	[San Pablo y Río de Janeiro] son los dos estados del país más afectados por la enfermedad, con 1.345 y 530 fallecimientos atribuidos a la covid-19, respectivamente. 	
ld0055	¿Cómo se llama el ex Ministro de Salud de Brasil, destituido por Bolsonaro?	AD	Pese a que todo indica que Moro permanecerá en el gabinete, la situación evidenció la frágil situación política de Bolsonaro, que la semana pasada cesó al ministro de Salud [Luiz Henrique Mandetta] y además enfrenta numerosos pedidos de juicio político en la Cámara de Diputados. 	
ld0056	¿Quién es el Ministro de Salud de Argentina?	AD	Según informó Página 12, el ministro de Salud, [Ginés González García], adelantó que entre los temas que estarían a estudio durante la reunión en Olivos se encontraba la posible flexibilización del aislamiento para niños y adolescentes.	
ld0056	¿En qué provincias se flexibilizó la cuarentena?	AD	Así, se habilitó el ejercicio de las profesiones liberales –abogados y contadores, principalmente– en las provincias de [Entre Ríos, Misiones, Salta, San Juan y Neuquén]. 	
