Documento	Pregunta	Anotador	Respuesta	
ld0051	¿Cuándo empezarían las escuelas privadas con el nuevo régimen?	AD	El retorno de las clases presenciales estuvo sobre la mesa, y a pesar de que las autoridades [no tienen una posible fecha], les advirtieron que se vayan preparando “porque se va a elaborar un protocolo de retorno específico para la educación urbana, con similitudes al de las escuelas rurales”.	
ld0051	¿Desde cuándo hay presencialidad en las escuelas rurales?	AD	-	
ld0051	¿Cuántas escuelas volvieron a la presencialidad hasta ahora?	AD	-	
ld0051	¿Quién es el director de Codicen?	AD	-	
ld0052	¿Quién realizó la encuesta?	AD	[La consultora Grupo Radar] dio a conocer este jueves su tercera encuesta sobre la percepción de la población de Montevideo respecto a la pandemia del coronavirus.	
ld0052	¿Qué porcentaje de montevideanos está en desacuerdo con las medidas del gobierno?	AD	-	
ld0052	¿Cuánto aumentó el desacuerdo desde el inicio de la pandemia?	AD	-	
ld0054	¿En qué tipo de locales es obligatorio el uso de tapabocas por el momento?	AD	-	
ld0054	¿Quién está evaluando la medida?	AD	Este viernes se comenzará a exigir el uso de tapabocas en las grandes superficies, pero también en los próximos días se comenzaría a hacer lo mismo en los comercios asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU), según acordaron evaluar este jueves [autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado], en una reunión que sostuvieron en la Torre Ejecutiva.	
ld0054	¿Cuándo se implementaría la medida?	AD	Este viernes se comenzará a exigir el uso de tapabocas en las grandes superficies, pero también [en los próximos días] se comenzaría a hacer lo mismo en los comercios asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU), según acordaron evaluar este jueves autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado, en una reunión que sostuvieron en la Torre Ejecutiva.	
ld0055	¿Cuántos casos de Covid hay en Brasil?	AD	De acuerdo con el balance oficial actualizado por el Ministerio de Salud, con estos nuevos casos, las muertes de personas infectadas por covid-19 ya son 3.313 y el número de infectados en la actualidad es de [20.861], aunque las cifras reales son mucho mayores, ya que además de que en Brasil no se está realizando pruebas de diagnóstico en forma masiva, muchas personas murieron en los últimos días sin ser diagnosticadas.	
ld0055	¿Quién es el Ministro de Salud de Brasil?	AD	-	
ld0055	¿Cuántas muertes por Covid hubo hasta ahora en Brasil?	AD	De acuerdo con el balance oficial actualizado por el Ministerio de Salud, con estos nuevos casos, las muertes de personas infectadas por covid-19 ya son [3.313] y el número de infectados en la actualidad es de 20.861, aunque las cifras reales son mucho mayores, ya que además de que en Brasil no se está realizando pruebas de diagnóstico en forma masiva, muchas personas murieron en los últimos días sin ser diagnosticadas.	
ld0056	¿Hace cuánto tiempo Argentina está en cuarentena?	AD	-	
ld0056	¿Quién recomienda mantener el aislamiento social en Argentina?	AD	El mandatario peronista se reunió este jueves en la residencia presidencial de Olivos con [un grupo de expertos de entidades nacionales e internacionales] que lo asesoran respecto del manejo de la pandemia.	
ld0056	¿Cuándo comenzó el aislamiento en Argentina?	AD	-	
ld0056	¿Quiénes apoyan el aislamiento social en Argentina?	AD	-	
ld0059	¿Cuándo se interrumpieron los campeonatos de la UEFA?	AD	-	
ld0059	¿Quién está evaluando si retomar o finalizar los campeonatos de la UEFA?	AD	[El Comité Ejecutivo de la UEFA] le busca la vuelta.	
ld0059	¿Cuántos campeonatos de la UEFA se suspendieron a causa del Covid?	AD	-	
ld0061	¿Quién realizó el estudio?	AD	En este escenario, [el Grupo de Investigación de Sociología de Género de la Facultad de Ciencias Sociales de la Universidad de la República, que coordina la socióloga y docente Karina Batthyány], realizó un estudio sobre el impacto del confinamiento en la vida cotidiana de las mujeres.	
ld0061	¿Qué mujeres se ven más afectadas por el confinamiento?	AD	Las tensiones son más evidentes para [las mujeres trabajadoras de sectores medios que pueden realizar sus tareas laborales desde sus casas], ya que “su carga de trabajo remunerado, en la mayoría de los casos, o se mantiene, o aumenta y el trabajo de cuidados, lejos de reducirse, aumenta considerablemente”.	
ld0061	¿Qué mujeres se ven más afectadas por el confinamiento?	AD	Los cuidados son un obstáculo también para [las mujeres que están obligadas a seguir trabajando fuera de sus hogares, como las profesionales de la salud o las trabajadoras de supermercados y farmacias].	
ld0061	¿Cuántas mujeres perdieron el empleo durante la pandemia?	AD	-	
ld0062	¿Cuántas personas perdieron trabajo por la pandemia?	AD	Los números “duros” de la economía muestran los [millones] de trabajadores y trabajadoras que perdieron o perderán su trabajo, la tragedia de quienes aun trabajando lo hacían o hacen en condiciones de extrema precariedad, sin un sistema de protección social que los contenga, los sectores económicos que serán crecientemente afectados y el cierre en dominó de muchas empresas, gran parte de ellas pequeñas y medianas.	
ld0062	¿Cuántas personas perdieron trabajo por la pandemia?	AD	La Organización Internacional del Trabajo estimó en su optimista proyección inicial (marzo de 2020) que la cifra de desempleados a nivel mundial [podría llegar a los 25 millones] de personas.	
ld0062	¿Cuántas empresas cerraron por la pandemia?	AD	Los números “duros” de la economía muestran los millones de trabajadores y trabajadoras que perdieron o perderán su trabajo, la tragedia de quienes aun trabajando lo hacían o hacen en condiciones de extrema precariedad, sin un sistema de protección social que los contenga, los sectores económicos que serán crecientemente afectados y el cierre en dominó de [muchas empresas, gran parte de ellas pequeñas y medianas].	!!!
ld0062	¿Qué países se vieron más afectados económicamente por la pandemia?	AD	-	
ld0062	¿Qué gobiernos han resuelto de manera más eficaz los problemas provocados por la pandemia?	AD	-	
ld0062	¿Quién está conforme con las medidas del gobierno uruguayo frente a la pandemia?	AD	-	
ld0063	¿Qué países se vieron más afectados por la pandemia?	AD	-	
ld0063	¿Qué países tomaron las medidas más estrictas frente a la pandemia?	AD	-	
ld0065	¿Cuándo se creó el cuestionario?	AD	-	
ld0065	¿Hace cuánto tiempo está en funcionamiento el cuestionario?	AD	A medio camino entre el juego y la encuesta, en una fase preliminar el portal cuarentena.uy [desde hace 15 días] recaba las impresiones sobre estos tiempos de pandemia.	
ld0065	¿Quién realizó el cuestionario?	AD	Un cuestionario diseñado por [la Facultad de Psicología y el equipo de DATA] busca ser un predictor de la percepción de la crisis sanitaria	
ld0065	¿Quién realizó el cuestionario?	AD	La verdad es que ahí me empezó a interesar más”, dice [Alejandro Maiche, profesor e investigador de la Facultad de Psicología de la Universidad de la República].	“MI HERMANO, que trabaja en páginas web, me llamó cuando empezó la cuarentena con ganas de hacer un juego que tuviera que ver básicamente con adivinar lo que iba a pasar. Pero también podía ser, me dijo, que la gente fuera contestando todas las semanas o todos los meses, entonces ir viendo cómo cambia la predicción. La verdad es que ahí me empezó a interesar más”, dice Alejandro Maiche, profesor e investigador de la Facultad de Psicología de la Universidad de la República.
ld0065	¿Cuántos datos se recabaron hasta el momento?	AD	Parte de lo que empiezan a observar en los [más de 150 resultados] que cosecharon hasta ahora es si existe una línea directa entre el miedo y ese acatamiento, que Maiche prefiere no igualar a obediencia (que implica una posición acrítica), ya que desde el punto de vista teórico, al menos, puede ser una característica de personalidad independiente del miedo.	
ld0065	¿A quién está dirigido el cuestionario?	AD	-	
ld0067	¿Cuánto aumentó el uso de computadoras desde la pandemia?	AD	En particular, llama la atención que el tráfico proveniente de dispositivos de escritorio (computadoras personales y laptops) aumentó [casi 150%] usando la misma referencia y cerca de 70% en dispositivos móviles (celulares) y tablets.	
ld0067	¿Cuántas personas teletrabajan en Uruguay?	AD	-	
ld0067	¿Cuántas personas acceden a internet por computadora?	AD	-	
ld0067	¿Cuántas personas acceden a internet por celular?	AD	-	
ld0067	¿Qué personas prefieren acceder a internet por computadora?	AD	-	
ld0069	¿Quién es el secretario general de la OMS?	AD	En una conferencia de prensa virtual ofrecida desde la sede de la entidad ubicada en la ciudad suiza de Ginebra, el secretario general de la Organización Mundial de la Salud (OMS), [el etíope Tedros Adhanom Ghebreyesus], advirtió que la nueva cepa de coronavirus va a estar presente en todo el mundo “durante mucho tiempo”, que sigue siendo “extremadamente peligrosa” y que la “mayoría de la población” sigue siendo susceptible de infectarse.	
ld0069	¿Cuándo se pronostica que va a terminar la pandemia?	AD	-	
ld0069	¿Cuánto se pronostica que va a durar la pandemia?	AD	-	
ld0069	¿Cuál es la cepa de Covid más peligrosa hasta ahora?	AD	-	
ld0070	¿Cuántas personas sufrirán la hambruna en 2020?	AD	Un informe del Programa Mundial de Alimentos de las Naciones Unidas (WFP, por sus siglas en inglés) estima que a finales de este año [más de 250 millones] de personas padecerán hambre aguda en el mundo a causa de la pandemia de covid-19.	
ld0070	¿Cuántas personas sufrirán la hambruna en 2020?	AD	El organismo prevé que el número de personas que hacen frente a la inseguridad alimentaria aguda aumentará a [265 millones] en 2020, lo que significa un aumento de 130 millones que se suman a los registrados en 2019, que fueron 135 millones.	
ld0070	¿Cuáles son los países más afectados por la hambruna?	AD	De acuerdo con el organismo, los países que padecieron el año pasado las peores crisis fueron [Yemen, República Democrática del Congo, Afganistán, Venezuela, Etiopía, Sudán del Sur, Siria, Sudán, Nigeria y Haití].	
ld0070	¿Quién predice la hambruna en el mundo a causa del Covid?	AD	Un informe del [Programa Mundial de Alimentos de las Naciones Unidas (WFP, por sus siglas en inglés)] estima que a finales de este año más de 250 millones de personas padecerán hambre aguda en el mundo a causa de la pandemia de covid-19.	
ld0072	¿Cuánto duró la cuarentena en Estados Unidos?	AD	-	
ld0072	¿Cuáles fueron las zonas de Estados Unidos más afectadas por el Covid?	AD	-	
ld0072	¿Cuántas muertes por Covid hubo en Estados Unidos?	AD	-	
ld0077	¿Qué países reanudaron los entrenamientos de fútbol?	AD	El tema en cuestión en el fútbol es la posible vuelta a los entrenamientos, algo que ocurrió [al menos en dos países europeos: Alemania y Portugal].	
ld0077	¿Cuándo se van a retomar los entrenamientos de fútbol?	AD	“La idea es hacer un trabajo serio, en conjunto con las autoridades; [no se habló de fechas]”, cerró Duarte.	¿Sirve esta respuesta o es mejor no ponerla?
ld0077	¿Quién está evaluando volver a los entrenamientos de fútbol?	AD	-	
ld0080	¿Cuántas personas son consideradas aglomeración?	AD	-	
ld0080	¿Cuánta distancia hay que mantener con las personas para no contagiarse?	AD	Por eso es importante: Mantener una distancia [mayor a un metro] de los demás.	!!!
ld0080	¿Cuánta distancia hay que mantener con las personas para no contagiarse?	AD	Mantener una distancia de [un metro o más] con otras personas (tengan o no el nuevo coronavirus, ya que pueden portarlo sin tener síntomas) y evitar las aglomeraciones.	
ld0080	¿Cuánto dura la enfermedad por Covid?	AD	-	
ld0080	¿Por cuánto tiempo es contagioso el Covid?	AD	-	
ld0080	¿Qué porcentaje de personas mueren por Covid?	AD	Si bien no hay datos definitivos sobre la tasa de letalidad del coronavirus en el mundo (principalmente por la cantidad de casos que hay sin diagnosticar y por las variaciones en el registro de fallecimientos), se estima que [alrededor de 2%] de las personas de todas las edades que han contraído la enfermedad han muerto, y que la letalidad aumenta progresivamente entre quienes tienen más de 60, 70 y 80 años. 	
ld0002	¿Cuándo empieza la temporada del mundial de Fórmula 1?	AR	La Fórmula 1 inicia la temporada en [julio].	
ld0002	¿Cuándo empieza la temporada del mundial de Fórmula 1?	AR	En [julio] comenzará la temporada del campeonato mundial de automovilismo, la Fórmula 1, “el más internacional de los torneos anuales”, como escribió Gabo Rochinotti en estas páginas.	
ld0004	¿Qué temores despierta el coronavirus?	AR	-	
ld0004	¿Quiénes se ven afectados por el coronavirus?	AR	-	
ld0005	¿Cómo se contagia el virus?	AR	-	
ld0005	¿Qué morbilidad tiene el coronavirus?	AR	-	
ld0006	¿Se hicieron películas durante la cuarentena?	AR	Las múltiples cuarentenas instaladas alrededor del mundo fueron un golpe de knock out a la industria del cine, ya que, dentro de todas las artes, por su carácter colectivo y su costado industrial posiblemente sea –junto con el teatro– la más afectada, ya que con el drama de la covid-19 [han mermado los circuitos de exhibición y las posibilidades materiales de realizar películas].	PREGUNTA SÍ/NO
ld0006	¿Cerraron los cines por la pandemia?	AR	Las múltiples cuarentenas instaladas alrededor del mundo fueron un golpe de knock out a la industria del cine, ya que, dentro de todas las artes, por su carácter colectivo y su costado industrial posiblemente sea –junto con el teatro– la más afectada, ya que con el drama de la covid-19 [han mermado los circuitos de exhibición y las posibilidades materiales de realizar películas].	PREGUNTA SÍ/NO
