¿Cuándo empezarían las escuelas privadas con el nuevo régimen?	['no tienen una posible fecha']
¿Desde cuándo hay presencialidad en las escuelas rurales?	['']
¿Cuántas escuelas volvieron a la presencialidad hasta ahora?	['']
¿Quién es el director de Codicen?	['']
¿Quién realizó la encuesta?	['La consultora Grupo Radar']
¿Qué porcentaje de montevideanos está en desacuerdo con las medidas del gobierno?	['']
¿Cuánto aumentó el desacuerdo desde el inicio de la pandemia?	['']
¿En qué tipo de locales es obligatorio el uso de tapabocas por el momento?	['']
¿Quién está evaluando la medida?	['autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado']
¿Cuándo se implementaría la medida?	['en los próximos días']
¿Cuántos casos de Covid hay en Brasil?	['20.861']
¿Quién es el Ministro de Salud de Brasil?	['']
¿Cuántas muertes por Covid hubo hasta ahora en Brasil?	['3.313']
¿Hace cuánto tiempo Argentina está en cuarentena?	['']
¿Quién recomienda mantener el aislamiento social en Argentina?	['un grupo de expertos de entidades nacionales e internacionales']
¿Cuándo comenzó el aislamiento en Argentina?	['']
¿Quiénes apoyan el aislamiento social en Argentina?	['']
¿Cuándo se interrumpieron los campeonatos de la UEFA?	['']
¿Quién está evaluando si retomar o finalizar los campeonatos de la UEFA?	['El Comité Ejecutivo de la UEFA']
¿Cuántos campeonatos de la UEFA se suspendieron a causa del Covid?	['']
¿Quién realizó el estudio?	['el Grupo de Investigación de Sociología de Género de la Facultad de Ciencias Sociales de la Universidad de la República, que coordina la socióloga y docente Karina Batthyány']
¿Qué mujeres se ven más afectadas por el confinamiento?	['las mujeres trabajadoras de sectores medios que pueden realizar sus tareas laborales desde sus casas']
¿Qué mujeres se ven más afectadas por el confinamiento?	['las mujeres que están obligadas a seguir trabajando fuera de sus hogares, como las profesionales de la salud o las trabajadoras de supermercados y farmacias']
¿Cuántas mujeres perdieron el empleo durante la pandemia?	['']
¿Cuántas personas perdieron trabajo por la pandemia?	['millones']
¿Cuántas personas perdieron trabajo por la pandemia?	['podría llegar a los 25 millones']
¿Cuántas empresas cerraron por la pandemia?	['muchas']
¿Qué países se vieron más afectados económicamente por la pandemia?	['']
¿Qué gobiernos han resuelto de manera más eficaz los problemas provocados por la pandemia?	['']
¿Quién está conforme con las medidas del gobierno uruguayo frente a la pandemia?	['']
¿Qué países se vieron más afectados por la pandemia?	['']
¿Qué países tomaron las medidas más estrictas frente a la pandemia?	['']
¿Cuándo se creó el cuestionario?	['']
¿Hace cuánto tiempo está en funcionamiento el cuestionario?	['desde hace 15 días']
¿Quién realizó el cuestionario?	['la Facultad de Psicología y el equipo de DATA']
¿Quién realizó el cuestionario?	['Alejandro Maiche']
¿Cuántos datos se recabaron hasta el momento?	['más de 150 resultados']
¿A quién está dirigido el cuestionario?	['']
¿Cuánto aumentó el uso de computadoras desde la pandemia?	['casi 150%']
¿Cuántas personas teletrabajan en Uruguay?	['']
¿Cuántas personas acceden a internet por computadora?	['']
¿Cuántas personas acceden a internet por celular?	['']
¿Qué personas prefieren acceder a internet por computadora?	['']
¿Quién es el secretario general de la OMS?	['el etíope Tedros Adhanom Ghebreyesus']
¿Cuándo se pronostica que va a terminar la pandemia?	['']
¿Cuánto se pronostica que va a durar la pandemia?	['']
¿Cuál es la cepa de Covid más peligrosa hasta ahora?	['']
¿Cuántas personas sufrirán la hambruna en 2020?	['más de 250 millones']
¿Cuántas personas sufrirán la hambruna en 2020?	['265 millones']
¿Cuáles son los países más afectados por la hambruna?	['Yemen, República Democrática del Congo, Afganistán, Venezuela, Etiopía, Sudán del Sur, Siria, Sudán, Nigeria y Haití']
¿Quién predice la hambruna en el mundo a causa del Covid?	['Programa Mundial de Alimentos de las Naciones Unidas (WFP, por sus siglas en inglés)']
¿Cuánto duró la cuarentena en Estados Unidos?	['']
¿Cuáles fueron las zonas de Estados Unidos más afectadas por el Covid?	['']
¿Cuántas muertes por Covid hubo en Estados Unidos?	['']
¿Qué países reanudaron los entrenamientos de fútbol?	['al menos en dos países europeos: Alemania y Portugal']
¿Cuándo se van a retomar los entrenamientos de fútbol?	['no se habló de fechas']
¿Quién está evaluando volver a los entrenamientos de fútbol?	['']
¿Cuántas personas son consideradas aglomeración?	['']
¿Cuánta distancia hay que mantener con las personas para no contagiarse?	['mayor a un metro']
¿Cuánta distancia hay que mantener con las personas para no contagiarse?	['un metro o más']
¿Cuánto dura la enfermedad por Covid?	['']
¿Por cuánto tiempo es contagioso el Covid?	['']
¿Qué porcentaje de personas mueren por Covid?	['alrededor de 2%']
