Documento,Pregunta,Anotador,Respuesta
ld0054,¿En qué tipo de locales es obligatorio el uso de tapabocas por el momento?,AD,-
ld0054,¿Quién está evaluando la medida?,AD,"Este viernes se comenzará a exigir el uso de tapabocas en las grandes superficies, pero también en los próximos días se comenzaría a hacer lo mismo en los comercios asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU), según acordaron evaluar este jueves [autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado], en una reunión que sostuvieron en la Torre Ejecutiva."
ld0054,¿Cuándo se implementaría la medida?,AD,"Este viernes se comenzará a exigir el uso de tapabocas en las grandes superficies, pero también [en los próximos días] se comenzaría a hacer lo mismo en los comercios asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU), según acordaron evaluar este jueves autoridades de esa gremial y el secretario de Presidencia, Álvaro Delgado, en una reunión que sostuvieron en la Torre Ejecutiva."
ld0055,¿Cuántos casos de Covid hay en Brasil?,AD,"De acuerdo con el balance oficial actualizado por el Ministerio de Salud, con estos nuevos casos, las muertes de personas infectadas por covid-19 ya son 3.313 y el número de infectados en la actualidad es de [20.861], aunque las cifras reales son mucho mayores, ya que además de que en Brasil no se está realizando pruebas de diagnóstico en forma masiva, muchas personas murieron en los últimos días sin ser diagnosticadas."
ld0055,¿Quién es el Ministro de Salud de Brasil?,AD,-
ld0055,¿Cuántas muertes por Covid hubo hasta ahora en Brasil?,AD,"De acuerdo con el balance oficial actualizado por el Ministerio de Salud, con estos nuevos casos, las muertes de personas infectadas por covid-19 ya son [3.313] y el número de infectados en la actualidad es de 20.861, aunque las cifras reales son mucho mayores, ya que además de que en Brasil no se está realizando pruebas de diagnóstico en forma masiva, muchas personas murieron en los últimos días sin ser diagnosticadas."
ld0056,¿Hace cuánto tiempo Argentina está en cuarentena?,AD,-
ld0056,¿Quién recomienda mantener el aislamiento social en Argentina?,AD,El mandatario peronista se reunió este jueves en la residencia presidencial de Olivos con [un grupo de expertos de entidades nacionales e internacionales] que lo asesoran respecto del manejo de la pandemia.
ld0056,¿Cuándo comenzó el aislamiento en Argentina?,AD,-
ld0056,¿Quiénes apoyan el aislamiento social en Argentina?,AD,-
ld0062,¿Cuántas personas perdieron trabajo por la pandemia?,AD,"Los números “duros” de la economía muestran los [millones] de trabajadores y trabajadoras que perdieron o perderán su trabajo, la tragedia de quienes aun trabajando lo hacían o hacen en condiciones de extrema precariedad, sin un sistema de protección social que los contenga, los sectores económicos que serán crecientemente afectados y el cierre en dominó de muchas empresas, gran parte de ellas pequeñas y medianas."
ld0062,¿Cuántas personas perdieron trabajo por la pandemia?,AD,La Organización Internacional del Trabajo estimó en su optimista proyección inicial (marzo de 2020) que la cifra de desempleados a nivel mundial [podría llegar a los 25 millones] de personas.
ld0062,¿Cuántas empresas cerraron por la pandemia?,AD,"Los números “duros” de la economía muestran los millones de trabajadores y trabajadoras que perdieron o perderán su trabajo, la tragedia de quienes aun trabajando lo hacían o hacen en condiciones de extrema precariedad, sin un sistema de protección social que los contenga, los sectores económicos que serán crecientemente afectados y el cierre en dominó de [muchas] empresas, gran parte de ellas pequeñas y medianas."
ld0062,¿Qué países se vieron más afectados económicamente por la pandemia?,AD,-
ld0062,¿Qué gobiernos han resuelto de manera más eficaz los problemas provocados por la pandemia?,AD,-
ld0062,¿Quién está conforme con las medidas del gobierno uruguayo frente a la pandemia?,AD,-
ld0063,¿Qué países se vieron más afectados por la pandemia?,AD,-
ld0063,¿Qué países tomaron las medidas más estrictas frente a la pandemia?,AD,-
ld0065,¿Cuándo se creó el cuestionario?,AD,-
ld0065,¿Hace cuánto tiempo está en funcionamiento el cuestionario?,AD,"A medio camino entre el juego y la encuesta, en una fase preliminar el portal cuarentena.uy [desde hace 15 días] recaba las impresiones sobre estos tiempos de pandemia."
ld0065,¿Quién realizó el cuestionario?,AD,Un cuestionario diseñado por [la Facultad de Psicología y el equipo de DATA] busca ser un predictor de la percepción de la crisis sanitaria
ld0065,¿Quién realizó el cuestionario?,AD,"La verdad es que ahí me empezó a interesar más”, dice [Alejandro Maiche], profesor e investigador de la Facultad de Psicología de la Universidad de la República."
ld0065,¿Cuántos datos se recabaron hasta el momento?,AD,"Parte de lo que empiezan a observar en los [más de 150 resultados] que cosecharon hasta ahora es si existe una línea directa entre el miedo y ese acatamiento, que Maiche prefiere no igualar a obediencia (que implica una posición acrítica), ya que desde el punto de vista teórico, al menos, puede ser una característica de personalidad independiente del miedo."
ld0065,¿A quién está dirigido el cuestionario?,AD,-
ld0067,¿Cuánto aumentó el uso de computadoras desde la pandemia?,AD,"En particular, llama la atención que el tráfico proveniente de dispositivos de escritorio (computadoras personales y laptops) aumentó [casi 150%] usando la misma referencia y cerca de 70% en dispositivos móviles (celulares) y tablets."
ld0067,¿Cuántas personas teletrabajan en Uruguay?,AD,-
ld0067,¿Cuántas personas acceden a internet por computadora?,AD,-
ld0067,¿Cuántas personas acceden a internet por celular?,AD,-
ld0067,¿Qué personas prefieren acceder a internet por computadora?,AD,-
ld0069,¿Quién es el secretario general de la OMS?,AD,"En una conferencia de prensa virtual ofrecida desde la sede de la entidad ubicada en la ciudad suiza de Ginebra, el secretario general de la Organización Mundial de la Salud (OMS), [el etíope Tedros Adhanom Ghebreyesus], advirtió que la nueva cepa de coronavirus va a estar presente en todo el mundo “durante mucho tiempo”, que sigue siendo “extremadamente peligrosa” y que la “mayoría de la población” sigue siendo susceptible de infectarse."
ld0069,¿Cuándo se pronostica que va a terminar la pandemia?,AD,-
ld0069,¿Cuánto se pronostica que va a durar la pandemia?,AD,-
ld0069,¿Cuál es la cepa de Covid más peligrosa hasta ahora?,AD,-
ld0077,¿Qué países reanudaron los entrenamientos de fútbol?,AD,"El tema en cuestión en el fútbol es la posible vuelta a los entrenamientos, algo que ocurrió [al menos en dos países europeos: Alemania y Portugal]."
ld0077,¿Cuándo se van a retomar los entrenamientos de fútbol?,AD,"“La idea es hacer un trabajo serio, en conjunto con las autoridades; [no se habló de fechas]”, cerró Duarte."
ld0077,¿Quién está evaluando volver a los entrenamientos de fútbol?,AD,-
ld0080,¿Cuántas personas son consideradas aglomeración?,AD,-
ld0080,¿Cuánta distancia hay que mantener con las personas para no contagiarse?,AD,Por eso es importante: Mantener una distancia [mayor a un metro] de los demás.
ld0080,¿Cuánta distancia hay que mantener con las personas para no contagiarse?,AD,"Mantener una distancia de [un metro o más] con otras personas (tengan o no el nuevo coronavirus, ya que pueden portarlo sin tener síntomas) y evitar las aglomeraciones."
ld0080,¿Cuánto dura la enfermedad por Covid?,AD,-
ld0080,¿Por cuánto tiempo es contagioso el Covid?,AD,-
ld0080,¿Qué porcentaje de personas mueren por Covid?,AD,"Si bien no hay datos definitivos sobre la tasa de letalidad del coronavirus en el mundo (principalmente por la cantidad de casos que hay sin diagnosticar y por las variaciones en el registro de fallecimientos), se estima que [alrededor de 2%] de las personas de todas las edades que han contraído la enfermedad han muerto, y que la letalidad aumenta progresivamente entre quienes tienen más de 60, 70 y 80 años. "
ld0005,¿Cómo se contagia el virus?,AR,-
ld0005,¿Qué morbilidad tiene el coronavirus?,AR,-
ld0006,¿Qué efecto tuvo la cuarentena en la realización de películas?,AR,"Las múltiples cuarentenas instaladas alrededor del mundo fueron un golpe de knock out a la industria del cine, ya que, dentro de todas las artes, por su carácter colectivo y su costado industrial posiblemente sea –junto con el teatro– la más afectada, ya que con el drama de la covid-19 [han mermado los circuitos de exhibición y las posibilidades materiales de realizar películas]."
ld0006,¿Qué actividad artística fue la más afectada por la pendemia?,AR,"Las múltiples cuarentenas instaladas alrededor del mundo fueron un golpe de knock out a [la industria del cine, ya que, dentro de todas las artes, por su carácter colectivo y su costado industrial posiblemente sea –junto con el teatro– la más afectada], ya que con el drama de la covid-19 han mermado los circuitos de exhibición y las posibilidades materiales de realizar películas."
ld0006,¿Qué películas nuevas ofrece Netflix?,AR,[Largo viaje hacia la noche y Atlantique]: dos películas disponibles en Netflix que antes se solían limitar al circuito especializado.
ld0006,¿Qué películas nuevas ofrece Netflix?,AR,"Tomando en cuenta esto último, se abre la chance para recomendar dos películas que están a un clic de distancia y que en la mayoría de los días quedarían circunscritas a unas pocas salas especializadas: [Largo viaje hacia la noche, del chino Bi Gan, y Atlantique, de la francosenegalesa Mati Diop], dos films con distintos estilos que han circulado por un montón de festivales y que se anclan en un extraño juego de temporalidades."
ld0082,¿Cuándo es la Feria Judicial Sanitaria?,AD,"Pero debido a la pandemia y a la cuarentena, [desde el 14 de marzo del corriente año, la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial) resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril]."
ld0082,¿Quiénes hacen la Feria Judicial Sanitaria?,AD,-
ld0082,¿Cuánto dura la Feria Judicial Sanitaria?,AD,-
mp0061,¿En qué parte de Argentina se detectaron los casos?,SGoy,-
mp0061,¿Cuándo se detectó el primer caso de la variante delta?,SGoy,-
mp0061,¿Cuántos casos de covid hay en Argentina?,SGoy,-
mp0061,¿Cuántos casos se detectaron en total?,SGoy,"La ministra de Salud de Argentina, Carla Vizzotti, informó este martes que diez de los [202] contagios detectados en el país con la variante delta de la covid-19 no tienen origen rastreable a un caso importado."
mp0065,¿Cuántos casos de covid se detectaron hoy en Nueva Zelanda?,SGoy,"Las autoridades registraron hoy [34] nuevos contagios locales, lo que supone un total de 107 casos desde el pasado martes."
mp0065,¿Qué vacuna se está usando en Nueva Zelanda?,SGoy,-
ld0303,¿Cuántos casos de covid hubo hoy en Nueva York?,SGoy,-
ld0303,¿Cuántas personas murieron por covid en Nueva York?,SGoy,"El estado de Nueva York, y en particular la ciudad del mismo nombre, han sido las zonas más afectadas del país por la pandemia, con [más de 7.000] fallecidos y casi 175.000 personas infectadas."
ld0304,¿Cuántas muertes hubo en España por covid?,SGoy,"España es ya el segundo país del mundo con mayor número de casos confirmados de coronavirus, con más de 157.000, un número que sólo supera Estados Unidos, y la cifra de muertos es [más de 15.800], sólo superada por Italia."
ld0304,¿Cuándo comenzó el confinamiento en España?,SGoy,-
ld0202,¿Cuánto dinero aporta Estados Unidos a la OMS?,LC,"Estados Unidos es el principal aportante de la OMS, ya que su contribución supone [22% del total de su presupuesto]."
ld0202,¿Dónde se originó la pandemia de covid-19?,LC,-
ld0202,¿Quién es el presidente de Estados Unidos?,LC,"La decisión de [Donald Trump] de no financiar más a la Organización Mundial de la Salud (OMS), tras acusarla de encubrir la expansión del coronavirus, provocó una oleada de críticas a nivel internacional."
